code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb_x,mktcap,nmc,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb_y,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603009 ,北特科技,-0.134,7.43,7.48,7.48,7.35,7.44,8247038.0,2.57185,61250012.0,33.318,1.546,266822.187179,238254.180445,汽车配件,上海,39.21,3.21,3.59,294989.72,133274.73,70173.13,102582.53,2.86,0.142,4.81,1.55,20140718.0,31124.15,0.87,39.8,27.51,25.31,5.64,26731.0
603008 ,喜临门,3.944,11.07,10.7,11.19,10.56,10.65,12650664.0,3.95878,138185684.0,14.959,1.533,437107.570209,353752.92,家居用品,浙江,20.57,3.2,3.95,639201.94,350387.69,115986.82,144436.02,3.66,0.40399999999999997,7.22,1.53,20120717.0,102996.11,2.61,44.78,-22.01,31.43,5.38,13746.0
603007 ,花王股份,-0.984,10.06,10.1,10.12,9.96,10.16,5842880.0,3.00618,58650544.0,19.725,3.168,343123.462,195528.172,建筑施工,江苏,26.21,1.94,3.41,337055.75,176051.38,6683.86,22425.93,0.66,0.28800000000000003,3.18,3.17,20160826.0,50085.62,1.47,50.55,22.93,32.48,10.6,20931.0
603006 ,联明股份,3.125,16.5,15.81,16.58,15.6,16.0,13204912.0,13.21044,213459914.0,27.5,3.165,317335.5669,164931.0069,汽车配件,上海,35.98,1.0,1.92,194602.95,97704.68,51431.46,16860.15,0.88,0.35,5.21,3.16,20140630.0,60713.69,3.16,3.49,-17.39,20.32,9.31,12343.0
603005 ,晶方科技,0.865,22.16,21.78,22.7,21.65,21.97,8331492.0,4.77091,184584459.0,71.484,2.7560000000000002,518969.37228,386982.692664,半导体,江苏,72.97,1.75,2.34,227219.84,109721.17,86738.18,93748.61,4.0,0.304,8.04,2.76,20140210.0,67283.03,2.87,-9.95,-25.67,27.94,12.56,24300.0
603003 ,龙宇燃油,0.455,8.83,8.85,8.88,8.71,8.79,8531700.0,2.04827,75312318.0,65.994,0.967,367798.110966,367798.110966,石油贸易,上海,58.89,4.17,4.17,604927.5,455438.66,59268.55,355706.5,8.54,0.11199999999999999,9.67,0.91,20120817.0,16019.01,0.38,-0.57,8.14,0.83,0.36,21070.0
603002 ,宏昌电子,1.339,4.54,4.44,4.56,4.43,4.48,12628979.0,2.06957,56984678.0,34.923,2.518,278942.9118,277041.32826,化工原料,广东,43.47,6.1,6.14,188546.25,127044.77,56482.73,10023.67,0.16,0.078,1.8,2.52,20120518.0,34031.1,0.55,62.79,30.82,9.98,3.62,35783.0
603001 ,奥康国际,0.0,11.88,11.86,11.95,11.83,11.88,3267029.0,0.81476,38854696.0,21.034,1.179,476364.24,476364.24,服饰,浙江,20.75,4.01,4.01,471792.91,315818.25,46936.46,192974.38,4.81,0.429,10.07,1.18,20120426.0,151033.02,3.77,-4.03,-10.25,36.18,7.89,19199.0
603000 ,人民网,-2.016,27.71,28.97,31.11,27.28,28.28,116842085.0,10.56734,3484583164.0,346.375,10.937,3063869.916176,3063869.916176,互联网,北京,339.13,11.06,11.06,370495.16,256890.3,12741.28,74500.5,0.67,0.061,2.53,10.94,20120427.0,77469.63,0.7,7.48,320.34,40.26,6.89,62361.0
601999 ,出版传媒,5.97,7.1,6.68,7.37,6.66,6.7,22217521.0,4.03284,159439756.0,24.483,1.835,391149.437,391149.437,出版业,辽宁,24.18,5.51,5.51,362530.28,231458.77,41827.96,52451.73,0.95,0.22,3.87,1.83,20071221.0,90020.42,1.63,12.19,11.06,24.16,7.06,33245.0
